,periods,desc_names,temp
0,Today,Sunny,High: 94 °F
1,Tonight,Clear,Low: 66 °F
2,Monday,Hot,High: 96 °F
3,MondayNight,Clear,Low: 67 °F
4,Tuesday,Sunny,High: 93 °F
5,TuesdayNight,Clear,Low: 64 °F
6,Wednesday,Sunny,High: 85 °F
7,WednesdayNight,Clear,Low: 62 °F
8,Thursday,Sunny,High: 83 °F
